GDF7-ACVR2A,
WNT4-LRP6,
WNT4-LRP6,
WNT6-FZD9,
WNT7A-LRP6,
WNT7A-LRP6,
GDF7-BMPR1B,
BMP5-ACVR1,
WNT9A-LRP6,
WNT9A-FZD10,
WNT9B-LRP6,
WNT9B-FZD9,
WNT5A-FZD1,
WNT5A-FZD2,
WNT5A-FZD4,
BMP5-ACVR2A,
NRG1-ERBB4,
